"","Ha1","Ha2","Ha3","Ctr1","Ctr2","Ctr3"
"PITA_17603",0,0,0,0,0,0
"PITA_09148",0,0,0,0,0,0
"PITA_44473",98,75,95,110,54,117
"PITA_02190",11,12,13,6,12,13
"PITA_17095",0,0,0,0,0,0
"PITA_42066",10,4,2,4,18,7
"PITA_17710",0,0,0,0,0,0
"PITA_27890",132,113,185,142,143,245
"PITA_12659",1669,988,1217,1378,1589,2047
"PITA_19764",27,46,36,81,45,192
"PITA_48049",29,24,51,49,39,99
"PITA_23692",201,158,208,242,0,155
"PITA_51057",130,67,111,111,104,218
"PITA_12984",21,15,30,9,18,4
"PITA_38246",4,8,11,6,14,11
"PITA_34840",250,60,138,313,187,22
"PITA_27065",106,106,75,114,64,89
"PITA_11945",4,14,7,1,10,1
"PITA_30224",40,12,16,0,57,21
"PITA_05551",0,0,0,0,0,0
"PITA_21468",1,0,1,0,0,1
"PITA_25455",940,717,924,1156,992,1222
"PITA_43653",1,1,2,1,0,1
"PITA_47044",1476,963,1216,1324,1168,1630
"PITA_14668",8,17,32,14,21,12
"PITA_26679",167,106,182,165,196,288
"PITA_21230",0,0,0,0,0,0
"PITA_13517",8837,6628,7279,9667,7777,14293
"PITA_26457",3,3,3,1,0,3
"PITA_44948",682,522,581,904,754,1044
"PITA_12417",306,175,219,360,255,150
"PITA_14714",2,0,2,0,0,0
"PITA_21873",562,352,421,566,424,555
"PITA_35916",2,0,5,12,8,34
"PITA_09903",0,0,0,0,0,0
"PITA_09827",0,0,1,0,0,16
"PITA_22566",34,19,21,29,10,20
"PITA_47890",8,6,10,6,2,8
"PITA_18589",72,54,33,25,43,28
"PITA_15845",202,170,288,156,228,326
"PITA_20947",0,0,0,0,0,0
"PITA_29384",0,0,1,0,0,0
"PITA_10045",424,332,385,545,428,343
"PITA_22458",0,0,1,0,0,0
"PITA_44809",16,32,24,27,7,4
"PITA_46351",150,96,158,98,139,184
"PITA_30081",0,0,0,0,0,0
"PITA_11126",90,54,70,66,97,101
"PITA_12026",0,0,2,0,0,0
"PITA_03210",43,15,28,84,5,44
"PITA_31783",0,0,0,0,0,3
"PITA_05213",0,0,0,0,0,0
"PITA_31225",337,227,279,693,691,1607
"PITA_16380",0,2,0,0,0,1
"PITA_50508",839,529,568,642,735,823
"PITA_22646",0,0,0,0,0,0
"PITA_50073",81,51,70,89,46,53
"PITA_29213",1346,1200,1763,1632,1809,3191
"PITA_37956",1,0,7,1,2,0
"PITA_12325",239,61,171,128,223,195
"PITA_35163",0,0,0,0,0,0
"PITA_28677",45,33,37,51,41,48
"PITA_09095",101,91,215,304,159,678
"PITA_22978",4,2,7,1,2,1
"PITA_16968",1516,970,1282,1329,1248,1559
"PITA_39663",18,5,3,13,23,26
"PITA_18995",0,0,0,0,0,0
"PITA_05090",695,301,420,314,226,594
"PITA_43713",4305,3352,4251,8195,7474,17522
"PITA_16142",52,27,33,44,37,31
"PITA_30931",0,0,0,0,0,0
"PITA_02865",0,0,0,0,0,1
"PITA_17420",122,114,108,123,83,123
"PITA_10311",458,83,221,77,123,36
"PITA_40067",68,61,64,82,163,98
"PITA_42215",570,195,525,388,426,337
"PITA_08953",0,0,0,0,0,0
"PITA_37977",0,0,0,0,0,0
"PITA_42967",1,2,2,0,2,1
